TEMPORADA,EQUIPO,PUNTOS,GOLES_FAVOR,GOLES_CONTRA,PCT_PASES_OK,PASES_TOTAL,DISPAROS,CORNERS,FALTAS_COMETIDAS,FALTAS_RECIBIDAS,VALOR_MERCADO,GANADOS,EMPATADOS,PERDIDOS
2022-2023,Almería,41,49,65,78.29,14198,332,148,443,401,114,11,8,19
2022-2023,Athletic Club,51,47,43,80.13,16595,400,257,512,421,222,14,9,15
2022-2023,Atlético Madrid,77,70,33,84.23,18917,403,186,440,418,534,23,8,7
2022-2023,Barcelona,88,70,20,88.05,22990,435,244,433,452,837,28,4,6
2022-2023,Celta Vigo,43,43,53,81.83,16740,346,185,469,493,139,11,10,17
2022-2023,Cádiz,42,30,53,74.06,12345,306,145,532,482,66,10,12,16
2022-2023,Elche,25,30,67,79.05,13963,303,204,525,394,68,5,10,23
2022-2023,Espanyol,37,52,69,76.49,13057,317,179,457,493,117,8,13,17
2022-2023,Getafe,42,34,45,70.59,12442,276,120,600,437,119,10,12,16
2022-2023,Girona,49,58,55,83.43,16870,370,145,440,507,140,13,10,15
2022-2023,Mallorca,50,37,43,75.49,12770,248,139,611,457,107,14,8,16
2022-2023,Osasuna,53,37,42,78.03,15037,349,159,544,410,150,15,8,15
2022-2023,Rayo Vallecano,49,45,53,78.82,15631,379,191,544,490,103,13,10,15
2022-2023,Real Betis,60,46,41,82.41,16775,320,155,414,535,246,17,9,12
2022-2023,Real Madrid,78,75,36,89.95,23466,465,227,367,530,923,24,6,8
2022-2023,Real Sociedad,71,51,35,81.9,17584,359,167,621,452,442,21,8,9
2022-2023,Real Valladolid,40,33,63,79.1,14688,351,173,460,516,91,11,7,20
2022-2023,Sevilla,49,47,54,83.04,17378,371,176,474,460,233,13,10,15
2022-2023,Valencia,42,42,45,80.62,15494,352,226,504,510,250,11,9,18
2022-2023,Villarreal,64,59,40,85.44,18422,390,211,450,482,364,19,7,12
2023-2024,Alavés,46,36,46,73.91,12290,348,188,481,449,124,12,10,16
2023-2024,Almería,21,43,75,79.42,14885,376,168,478,493,99,3,12,23
2023-2024,Athletic Club,68,61,37,79.63,16820,348,209,511,428,296,19,11,8
2023-2024,Atlético Madrid,76,70,43,84.56,19110,375,176,438,447,458,24,4,10
2023-2024,Barcelona,85,79,44,88.59,23141,440,239,412,469,916,26,7,5
2023-2024,Celta Vigo,41,46,57,80.24,16111,346,181,463,485,149,10,11,17
2023-2024,Cádiz,33,26,55,74.3,13237,304,171,576,498,61,6,15,17
2023-2024,Getafe,43,42,54,72.6,13486,336,144,648,437,133,10,13,15
2023-2024,Girona,81,85,46,87.85,20319,380,159,406,471,298,25,6,7
2023-2024,Granada,21,38,79,77.63,14257,293,149,514,504,141,4,9,25
2023-2024,Las Palmas,40,33,47,85.39,21244,286,159,411,499,112,10,10,18
2023-2024,Mallorca,40,33,44,75.7,13878,311,175,567,412,88,8,16,14
2023-2024,Osasuna,45,45,56,77.02,15468,321,170,518,392,105,12,9,17
2023-2024,Rayo Vallecano,38,29,48,78.15,15641,368,170,563,518,64,8,14,16
2023-2024,Real Betis,57,48,45,82.97,17362,348,219,429,497,225,14,15,9
2023-2024,Real Madrid,95,87,26,90.09,23167,448,212,368,523,1140,29,8,1
2023-2024,Real Sociedad,60,51,39,82.01,17539,347,199,604,442,499,16,12,10
2023-2024,Sevilla,41,48,54,81.56,16601,399,180,477,443,229,10,11,17
2023-2024,Valencia,49,40,45,77.01,14577,288,124,481,475,245,13,10,15
2023-2024,Villarreal,53,65,65,84.21,17095,340,176,488,462,253,14,11,13
2024-2025,Alavés,42,38,48,73.95,12955,308,183,623,476,92,10,12,16
