Semana,Netflix
2019-03-10,42
2019-03-17,44
2019-03-24,41
2019-03-31,42
2019-04-07,41
2019-04-14,44
2019-04-21,45
2019-04-28,43
2019-05-05,42
2019-05-12,40
2019-05-19,42
2019-05-26,45
2019-06-02,43
2019-06-09,44
2019-06-16,44
2019-06-23,42
2019-06-30,43
2019-07-07,46
2019-07-14,50
2019-07-21,50
2019-07-28,47
2019-08-04,45
2019-08-11,46
2019-08-18,47
2019-08-25,46
2019-09-01,43
2019-09-08,41
2019-09-15,44
2019-09-22,44
2019-09-29,42
2019-10-06,45
2019-10-13,45
2019-10-20,44
2019-10-27,45
2019-11-03,45
2019-11-10,47
2019-11-17,44
2019-11-24,45
2019-12-01,43
2019-12-08,42
2019-12-15,52
2019-12-22,63
2019-12-29,70
2020-01-05,55
2020-01-12,53
2020-01-19,55
2020-01-26,50
2020-02-02,49
2020-02-09,50
2020-02-16,48
2020-02-23,50
2020-03-01,47
2020-03-08,51
2020-03-15,82
2020-03-22,100
2020-03-29,98
2020-04-05,93
2020-04-12,90
2020-04-19,85
2020-04-26,82
2020-05-03,79
2020-05-10,69
2020-05-17,69
2020-05-24,64
2020-05-31,63
2020-06-07,64
2020-06-14,59
2020-06-21,62
2020-06-28,65
2020-07-05,62
2020-07-12,59
2020-07-19,60
2020-07-26,59
2020-08-02,56
2020-08-09,54
2020-08-16,59
2020-08-23,58
2020-08-30,56
2020-09-06,61
2020-09-13,61
2020-09-20,55
2020-09-27,57
2020-10-04,54
2020-10-11,52
2020-10-18,54
2020-10-25,58
2020-11-01,52
2020-11-08,53
2020-11-15,54
2020-11-22,55
2020-11-29,58
2020-12-06,55
2020-12-13,58
2020-12-20,67
2020-12-27,75
2021-01-03,64
2021-01-10,63
2021-01-17,63
2021-01-24,63
2021-01-31,59
2021-02-07,57
2021-02-14,59
2021-02-21,52
2021-02-28,53
2021-03-07,49
2021-03-14,50
2021-03-21,51
2021-03-28,52
2021-04-04,54
2021-04-11,51
2021-04-18,53
2021-04-25,53
2021-05-02,52
2021-05-09,53
2021-05-16,49
2021-05-23,51
2021-05-30,50
2021-06-06,50
2021-06-13,47
2021-06-20,52
2021-06-27,54
2021-07-04,51
2021-07-11,51
2021-07-18,52
2021-07-25,50
2021-08-01,50
2021-08-08,47
2021-08-15,49
2021-08-22,51
2021-08-29,51
2021-09-05,48
2021-09-12,47
2021-09-19,49
2021-09-26,54
2021-10-03,55
2021-10-10,54
2021-10-17,52
2021-10-24,51
2021-10-31,51
2021-11-07,50
2021-11-14,46
2021-11-21,48
2021-11-28,49
2021-12-05,51
2021-12-12,50
2021-12-19,54
2021-12-26,65
2022-01-02,71
2022-01-09,61
2022-01-16,58
2022-01-23,58
2022-01-30,60
2022-02-06,56
2022-02-13,55
2022-02-20,53
2022-02-27,52
2022-03-06,46
2022-03-13,50
2022-03-20,49
2022-03-27,46
2022-04-03,47
2022-04-10,51
2022-04-17,54
2022-04-24,48
2022-05-01,48
2022-05-08,44
2022-05-15,46
2022-05-22,47
2022-05-29,49
2022-06-05,51
2022-06-12,50
2022-06-19,52
2022-06-26,52
2022-07-03,49
2022-07-10,55
2022-07-17,56
2022-07-24,51
2022-07-31,53
2022-08-07,52
2022-08-14,53
2022-08-21,50
2022-08-28,49
2022-09-04,46
2022-09-11,47
2022-09-18,50
2022-09-25,55
2022-10-02,51
2022-10-09,51
2022-10-16,49
2022-10-23,50
2022-10-30,54
2022-11-06,45
2022-11-13,47
2022-11-20,48
2022-11-27,49
2022-12-04,53
2022-12-11,52
2022-12-18,56
2022-12-25,64
2023-01-01,61
2023-01-08,52
2023-01-15,53
2023-01-22,53
2023-01-29,53
2023-02-05,52
2023-02-12,49
2023-02-19,52
2023-02-26,47
2023-03-05,48
2023-03-12,47
2023-03-19,43
2023-03-26,44
2023-04-02,47
2023-04-09,49
2023-04-16,48
2023-04-23,45
2023-04-30,44
2023-05-07,40
2023-05-14,43
2023-05-21,48
2023-05-28,45
2023-06-04,48
2023-06-11,49
2023-06-18,49
2023-06-25,48
2023-07-02,48
2023-07-09,45
2023-07-16,47
2023-07-23,47
2023-07-30,44
2023-08-06,45
2023-08-13,44
2023-08-20,44
2023-08-27,48
2023-09-03,48
2023-09-10,47
2023-09-17,46
2023-09-24,43
2023-10-01,44
2023-10-08,44
2023-10-15,47
2023-10-22,42
2023-10-29,46
2023-11-05,43
2023-11-12,45
2023-11-19,44
2023-11-26,44
2023-12-03,45
2023-12-10,50
2023-12-17,50
2023-12-24,57
2023-12-31,59
2024-01-07,52
2024-01-14,51
2024-01-21,50
2024-01-28,49
2024-02-04,45
2024-02-11,47
2024-02-18,53
2024-02-25,50
