Trabajador,Cliente,tipoEnvio,Ciudad,Pais,Valor
5,VINET,3,Reims,France,11880
6,TOMSP,1,Münster,Germany,91306.6
4,HANAR,2,Rio de Janeiro,Brazil,108780
3,VICTE,1,Lyon,France,27502.8
4,SUPRD,2,Charleroi,Belgium,391650
3,HANAR,2,Rio de Janeiro,Brazil,147369.6
5,CHOPS,2,Bern,Switzerland,35636.4
9,RICSU,3,Genève,Switzerland,273955
3,WELLI,2,Resende,Brazil,13980.6
4,HILAA,3,San Cristóbal,Venezuela,51515.4
1,ERNSH,1,Graz,Austria,244250.6
4,CENTC,3,México D.F.,Mexico,1108.8
4,OTTIK,1,Köln,Germany,178112.4
4,QUEDE,2,Rio de Janeiro,Brazil,17920
8,RATTC,3,Albuquerque,USA,18119.2
9,ERNSH,3,Graz,Austria,707500
6,FOLKO,3,Bräcke,Sweden,43470
2,BLONP,1,Strasbourg,France,58800
3,WARTH,3,Oulu,Finland,4377.6
4,FRANK,1,München,Germany,544185
8,GROSR,3,Caracas,Venezuela,15416.8
5,WHITC,1,Seattle,USA,54080
1,WARTH,1,Oulu,Finland,75680
6,SPLIR,2,Lander,USA,1152
6,RATTC,2,Albuquerque,USA,101920
3,QUICK,3,Cunewalde,Germany,325644.8
6,VINET,1,Reims,France,14542.2
1,MAGAA,1,Bergamo,Italy,5529.6
8,TORTU,3,México D.F.,Mexico,10500
2,MORGK,3,Leipzig,Germany,38425.6
8,BERGS,2,Luleå,Sweden,95283.2
8,LEHMS,2,Frankfurt a.M.,Germany,7020
2,BERGS,1,Luleå,Sweden,38018.4
4,ROMEY,1,Madrid,Spain,951.5
4,ROMEY,1,Madrid,Spain,1243.2
3,LILAS,3,Barquisimeto,Venezuela,107524.8
4,LEHMS,1,Frankfurt a.M.,Germany,88572
1,QUICK,2,Cunewalde,Germany,263683.2
8,QUICK,3,Cunewalde,Germany,422240
8,RICAR,3,Rio de Janeiro,Brazil,69300
4,REGGC,1,Reggio Emilia,Italy,1157
7,BSBEV,3,London,UK,18696.6
8,COMMI,1,Sao Paulo,Brazil,130140
6,QUEDE,2,Rio de Janeiro,Brazil,25428.8
1,TRADH,2,Sao Paulo,Brazil,25920
1,TORTU,3,México D.F.,Mexico,28007.1
4,RATTC,2,Albuquerque,USA,141570
2,VINET,2,Reims,France,486.4
6,LILAS,1,Barquisimeto,Venezuela,59884.2
5,BLONP,2,Strasbourg,France,113600
6,HUNGO,2,Cork,Ireland,390875
4,RICAR,2,Rio de Janeiro,Brazil,12232.5
2,MAGAA,2,Bergamo,Italy,30400
8,WANDK,2,Stuttgart,Germany,22650
4,SUPRD,2,Charleroi,Belgium,216704
7,GODOS,2,Sevilla,Spain,105570
1,TORTU,2,México D.F.,Mexico,40084.8
8,OLDWO,3,Anchorage,USA,332560
1,ROMEY,3,Madrid,Spain,12462.5
2,LONEP,2,Portland,USA,5512
7,ANATR,3,México D.F.,Mexico,532.8
3,HUNGO,1,Cork,Ireland,132150
8,THEBI,2,Portland,USA,5040
1,DUMON,3,Nantes,France,3494.4
2,WANDK,2,Stuttgart,Germany,93658.4
2,QUICK,2,Cunewalde,Germany,2188.8
1,RATTC,2,Albuquerque,USA,221065
4,ISLAT,2,Cowes,UK,22739.2
1,RATTC,3,Albuquerque,USA,226800
6,LONEP,1,Portland,USA,5760
8,ISLAT,2,Cowes,UK,6250.4
7,TORTU,3,México D.F.,Mexico,61942.4
5,WARTH,3,Oulu,Finland,15480
3,ISLAT,2,Cowes,UK,1440
7,PERIC,3,México D.F.,Mexico,2240
4,KOENE,1,Brandenburg,Germany,2137.2
9,SAVEA,1,Boise,USA,1483571.9
1,KOENE,3,Brandenburg,Germany,106287
4,BOLID,2,Madrid,Spain,88380
2,FOLKO,1,Bräcke,Sweden,316750
4,FURIB,3,Lisboa,Portugal,68912
4,SPLIR,2,Lander,USA,240970
3,LILAS,1,Barquisimeto,Venezuela,145500
9,BONAP,1,Marseille,France,1327.5
3,MEREP,2,Montréal,Canada,147417.6
5,WARTH,3,Oulu,Finland,57240
8,VICTE,2,Lyon,France,2606.4
7,HUNGO,2,Cork,Ireland,218887.2
7,PRINI,2,Lisboa,Portugal,5702.4
4,FRANK,3,München,Germany,337979
4,OLDWO,3,Anchorage,USA,32707.5
2,MEREP,2,Montréal,Canada,374025.6
1,BONAP,3,Marseille,France,184636.8
7,SIMOB,3,Kobenhavn,Denmark,7004
4,FRANK,2,München,Germany,368128
4,LEHMS,1,Frankfurt a.M.,Germany,109434
4,WHITC,2,Seattle,USA,299880
2,QUICK,2,Cunewalde,Germany,465043.2
3,RATTC,3,Albuquerque,USA,96947.2
4,FAMIA,3,Sao Paulo,Brazil,64960
4,WANDK,2,Stuttgart,Germany,15840
7,SPLIR,1,Lander,USA,3398.4
6,LAMAI,2,Toulouse,France,23542.2
1,ERNSH,1,Graz,Austria,681312
3,FURIB,3,Lisboa,Portugal,4620
7,PICCO,3,Salzburg,Austria,665979.2
8,PERIC,3,México D.F.,Mexico,9100.8
6,AROUT,1,Colchester,UK,24000
6,WANDK,2,Stuttgart,Germany,68596.8
1,LILAS,3,Barquisimeto,Venezuela,73440
5,LAMAI,1,Toulouse,France,18080
5,SEVES,3,London,UK,752806.4
4,BLONP,3,Strasbourg,France,1019847.6
1,QUICK,2,Cunewalde,Germany,247822.4
3,BONAP,1,Marseille,France,145662.4
4,DRACD,3,Aachen,Germany,19676.8
1,EASTC,1,London,UK,33250
3,ANTON,2,México D.F.,Mexico,9676.8
8,GALED,2,Barcelona,Spain,1360
7,VAFFE,3,Århus,Denmark,63399.2
2,ERNSH,2,Graz,Austria,143067.6
8,SPLIR,2,Lander,USA,96033.6
6,CHOPS,2,Bern,Switzerland,76310
