escuela;sexo;edad;nota
GP;M;18;6
GP;M;17;6
GP;M;15;10
GP;M;15;15
GP;M;16;10
GP;H;16;15
GP;H;16;11
GP;M;17;6
GP;H;15;19
GP;H;15;15
GP;M;15;9
GP;M;15;12
GP;H;15;14
GP;H;15;11
GP;H;15;16
GP;M;16;14
GP;M;16;14
GP;M;16;10
GP;H;17;5
GP;H;16;10
GP;H;15;15
GP;H;15;15
GP;H;16;16
GP;H;16;12
GP;M;15;8
GP;M;16;8
GP;H;15;11
GP;H;15;15
GP;H;16;11
GP;H;16;11
GP;H;15;12
GP;H;15;17
GP;H;15;16
GP;H;15;12
GP;H;16;15
GP;M;15;6
GP;H;15;18
GP;H;16;15
GP;M;15;11
GP;M;15;13
GP;M;16;11
GP;H;15;12
GP;H;15;18
GP;H;15;11
GP;M;16;9
GP;M;15;6
GP;M;16;11
GP;H;16;20
GP;H;15;14
GP;M;15;7
GP;M;16;13
GP;M;15;13
GP;H;15;10
GP;M;15;11
GP;M;15;13
GP;M;16;10
GP;M;15;15
GP;H;15;15
GP;H;15;9
GP;M;16;16
GP;M;16;11
GP;M;16;11
GP;M;16;9
GP;M;16;9
GP;M;15;10
GP;M;16;15
GP;H;15;12
GP;M;16;6
GP;M;15;8
GP;M;15;16
GP;H;16;15
GP;H;15;10
GP;M;15;5
GP;H;16;14
GP;M;16;11
GP;H;15;10
GP;H;15;10
GP;M;16;11
GP;H;17;10
GP;M;16;5
GP;H;15;12
GP;H;15;11
GP;M;15;6
GP;H;15;15
GP;M;15;10
GP;M;15;8
GP;M;16;6
GP;M;15;14
GP;H;16;10
GP;H;16;7
GP;M;16;8
GP;M;15;18
GP;M;16;6
GP;M;16;10
GP;H;15;14
GP;M;15;10
GP;H;16;15
GP;M;16;10
GP;M;16;14
GP;M;16;8
GP;H;16;5
GP;H;16;17
GP;H;15;14
GP;M;15;6
GP;H;15;18
GP;M;15;11
GP;M;15;8
GP;H;16;18
GP;H;15;13
GP;M;16;16
GP;H;15;19
GP;M;16;10
GP;M;16;13
GP;H;15;19
GP;H;15;9
GP;H;16;16
GP;H;15;14
GP;H;16;13
GP;H;17;8
GP;H;15;13
GP;M;15;15
GP;H;15;15
GP;M;16;13
GP;H;16;13
GP;M;16;8
GP;H;15;12
GP;M;15;11
GP;M;19;9
GP;H;18;0
GP;H;16;18
GP;M;15;0
GP;M;15;0
GP;M;17;12
GP;M;16;11
GP;H;15;0
GP;M;15;0
GP;H;17;0
GP;M;16;0
GP;H;16;12
GP;M;15;15
GP;H;15;0
GP;H;16;9
GP;M;15;11
GP;M;16;13
GP;H;17;0
GP;M;15;11
GP;M;15;0
GP;M;15;11
GP;H;16;0
GP;H;15;10
GP;H;18;0
GP;H;16;14
GP;M;15;10
GP;H;19;0
GP;M;17;12
GP;H;15;8
GP;H;17;13
GP;M;18;10
GP;H;16;15
GP;H;16;12
GP;H;17;0
GP;H;15;7
GP;H;16;0
GP;H;17;10
GP;H;17;7
GP;H;16;12
GP;H;16;10
GP;M;16;16
GP;M;16;0
GP;M;16;14
GP;H;16;0
GP;H;16;16
GP;H;17;10
GP;M;16;0
GP;M;16;9
GP;H;17;9
GP;M;16;11
GP;H;17;6
GP;H;16;9
GP;H;17;11
GP;H;16;8
GP;H;16;12
GP;M;17;17
GP;M;17;8
GP;M;16;12
GP;H;17;11
GP;H;16;11
GP;H;16;15
GP;M;17;9
GP;H;17;10
GP;M;16;13
GP;M;17;9
GP;H;17;8
GP;H;16;10
GP;H;16;14
GP;M;17;15
GP;H;17;16
GP;H;16;10
GP;M;17;18
GP;M;16;10
GP;M;16;16
GP;M;16;10
GP;M;17;10
GP;M;17;6
GP;M;16;11
GP;M;17;9
GP;M;16;7
GP;M;16;13
GP;M;16;10
GP;M;17;7
GP;M;19;8
GP;H;17;13
GP;M;16;14
GP;H;18;8
GP;M;17;10
GP;M;17;15
GP;M;17;4
GP;H;18;8
GP;M;17;8
GP;M;17;10
GP;M;17;6
GP;M;17;0
GP;M;16;17
GP;H;18;13
GP;M;16;14
GP;M;18;7
GP;M;17;15
GP;H;17;12
GP;H;18;9
GP;M;17;12
GP;M;17;14
GP;H;17;11
GP;H;17;9
GP;H;16;13
GP;H;16;6
GP;H;16;10
GP;H;17;13
GP;M;16;12
GP;M;17;11
GP;H;18;0
GP;H;17;12
GP;H;17;12
GP;H;16;0
GP;H;16;12
GP;M;18;0
GP;H;16;18
GP;H;17;13
GP;H;22;8
GP;H;18;5
GP;H;16;15
GP;H;18;8
GP;H;16;10
GP;H;18;8
GP;H;16;8
GP;H;17;12
GP;H;17;8
GP;M;17;13
GP;H;19;11
GP;H;18;14
GP;M;17;0
GP;M;18;18
GP;H;18;8
GP;H;18;12
GP;M;17;9
GP;M;18;0
GP;H;18;17
GP;H;17;10
GP;M;18;11
GP;H;18;10
GP;M;18;0
GP;M;19;9
GP;M;18;14
GP;M;18;11
GP;H;17;14
GP;M;17;10
GP;M;17;12
GP;M;18;9
GP;H;18;9
GP;M;18;8
GP;H;18;10
GP;H;17;8
GP;H;17;10
GP;M;18;12
GP;M;18;10
GP;M;17;11
GP;H;17;11
GP;M;18;19
GP;M;17;12
GP;H;18;14
GP;H;18;15
GP;H;18;11
GP;M;17;15
GP;M;18;13
GP;M;17;18
GP;H;18;14
GP;H;17;11
GP;M;19;0
GP;M;18;8
GP;M;18;14
GP;H;18;16
GP;M;18;11
GP;H;17;10
GP;M;17;14
GP;M;17;18
GP;H;19;13
GP;M;18;12
GP;H;20;18
GP;H;19;8
GP;H;19;12
GP;M;19;10
GP;M;19;0
GP;M;19;13
GP;H;19;11
GP;M;19;11
GP;M;19;13
GP;M;19;11
GP;M;18;0
GP;M;18;9
GP;M;17;10
GP;M;18;11
GP;M;17;13
GP;M;17;9
GP;M;17;11
GP;M;17;15
GP;M;17;15
GP;H;18;11
GP;H;17;16
GP;H;17;10
GP;M;17;9
GP;M;17;14
GP;H;18;8
GP;M;17;14
GP;M;18;0
GP;M;18;0
GP;M;18;0
GP;M;17;15
GP;M;19;13
GP;M;17;0
GP;M;18;17
GP;M;17;10
GP;M;19;11
GP;H;18;0
GP;H;18;15
GP;M;17;0
GP;M;18;10
GP;M;18;14
GP;H;18;16
GP;H;18;9
GP;M;17;15
MS;H;18;13
MS;H;19;8
MS;H;17;13
MS;H;18;8
MS;H;19;8
MS;H;17;11
MS;M;18;9
MS;M;17;13
MS;M;17;11
MS;H;18;10
MS;M;18;16
MS;M;18;13
MS;H;18;12
MS;M;18;10
MS;M;17;15
MS;M;17;12
MS;H;18;10
MS;H;18;13
MS;M;17;0
MS;M;18;10
MS;M;18;11
MS;M;19;9
MS;H;18;12
MS;M;17;11
MS;M;17;5
MS;M;18;19
MS;M;18;10
MS;M;20;15
MS;M;18;10
MS;M;18;15
MS;M;17;10
MS;H;18;14
MS;H;18;7
MS;H;17;10
MS;H;19;0
MS;H;18;5
MS;M;18;10
MS;M;18;6
MS;M;19;0
MS;M;18;8
MS;M;18;0
MS;H;20;9
MS;H;17;16
MS;H;21;7
MS;H;18;10
MS;H;19;9
