SKU,precio,unidades
1737127,44.99,8
3255963,24.81,39
612701,46,34
115883,100,20
863939,121.95,28
214948,132,33
484059,95.95,33
146401,207.8,57
110568,119.81,36
764270,49.95,19
1597828,36.95,21
178736,55.95,16
525904,104.99,15
3016759,0,26
169222,129.95,22
3071053,64.95,12
110699,120.39,69
115159,126.2,33
143125,167.75,20
144296,94.6,33
159588,53.95,37
178701,399.95,34
210839,42.95,23
210920,97.95,34
2387463,0,22
2398402,98.95,67
244942,177.95,52
247825,51.95,46
251957,70.95,47
3133247,50,14
51449,46.75,38
542339,44.95,85
547880,168.25,69
561829,224.95,22
567748,77.95,39
569884,74.95,20
576667,123.95,33
607032,215.31,73
607243,106.67,23
609142,69.95,68
617600,65.25,30
635204,125,35
643315,33.95,11
754098,160,23
875719,52.95,45
875765,30.95,70
906616,43.78,32
909496,71.95,19
913331,72.45,25
920994,26.5,68
111997,52.25,37
115750,120.67,58
143053,29,18
1447623,0,20
1449431,130.75,18
144961,75.33,29
154321,41.75,35
159482,51.95,16
163847,130,18
1782464,40.95,28
184091,140.95,31
202261,104.95,27
202274,199.95,41
2407771,29.5,23
288419,173,20
320961,69.95,18
416034,24.38,73
534275,112.5,98
540508,54.8,32
56578,97.35,36
573522,54.95,36
597332,49,21
602185,125,91
609113,159.95,26
613931,9.56,76
615086,45,29
641332,115,25
682967,20.5,52
705864,0,22
715964,208.67,26
716418,0,33
849005,87.56,32
889635,53.95,15
907998,85.95,22
914430,41,24
914892,21.25,34
916266,62,38
415834,90,19
110747,151.88,24
2250597,98.03,41
549258,131.35,54
877061,88.29,54
913893,67.91,25
531852,39.97,46
109304,147,38
109306,168.5,26
61125,149.99,66
879548,22.78,51
632083,35.39,22
879991,137,35
417259,0,19
878475,0,17
109764,98,20
309789,236.58,24
696709,38.98,16
616936,40.1,20
699262,25.98,20
312207,102,24
909341,0,22
2389077,105,28
120072,141.33,35
537375,249.07,30
115541,33,87
119207,191.2,42
60208,89.95,60
51626,205.6,51
571199,9.98,38
540706,147.73,36
873654,22.41,5
628630,146.27,16
627834,207.6,25
714647,41,22
534071,79.8,65
607618,127,36
633902,57.55,19
54865,57.4,119
133234,138.6,21
633149,83.8,28
2438396,72.5,35
146251,67.4,21
435047,187.53,24
435042,187.53,29
879713,44.11,31
743055,214,37
830221,59,33
614053,52.95,36
864703,43.95,36
2507677,42.86,44
658449,244.5,22
847859,0,32
174575,41.99,18
878095,114.95,13
879753,0,14
435148,447.95,16
3123749,57,15
293844,125.95,32
614823,123.95,46
915827,21.95,30
622505,42,27
816174,14.99,17
615006,37,82
342971,9.53,43
163128,243.25,30
2648307,39.95,18
906040,0,18
878586,134.95,17
533840,159.95,12
244125,114.95,32
538702,317.25,64
2263139,83.07,27
538834,274.75,108
705595,0,26
880633,142.25,32
667265,259.95,19
57602,156.95,39
617902,91.95,20
533361,165.95,27
904325,119.14,35
608043,160.95,58
745397,236.95,22
244052,207.95,46
745385,182.95,22
867507,134.95,16
535404,175.95,54
533620,118.95,26
366209,53.95,21
664280,39.99,15
192686,338.95,12
2523800,120,23
54963,47.95,47
410185,162.95,24
229151,64.95,51
142019,0,14
873623,52,43
610043,37.99,119
899627,0,14
2039339,192,24
651540,241.95,16
662639,94.95,20
610196,47,70
558678,114.35,19
130230,109.67,25
145782,53,18
2331490,102.59,29
255870,89.95,70
532636,125.7,13
546009,38.94,54
550296,7.99,40
609593,114.95,75
61183,172.95,46
764592,91.95,39
788220,176.95,25
809110,68.25,23
876162,95.8,43
144924,108.6,30
192743,64.95,17
609784,55.95,43
619562,26.99,35
765009,115.95,32
788734,63.95,21
807054,55.95,41
878479,32.97,34
916660,58.95,31
698852,88,13
111376,68.89,26
699288,42.96,12
107971,13.28,32
610393,170.25,59
705502,39.96,20
618668,34.6,61
615360,54.99,33
664811,133.4,24
2841191,4,55
844117,0,34
141764,49.01,75
917276,75,34
639225,133.29,50
434997,219,24
622404,98.56,26
2560872,84.43,30
169418,160.95,23
537968,86.95,28
177631,203.95,43
768490,190.75,58
533487,41.95,81
2560130,120,17
644600,19.69,28
609102,171.95,76
699313,28.98,17
538466,289,81
1822465,234.3,13
2258067,17.99,23
562106,209.95,25
170123,76.95,35
170122,104.95,36
192787,118,20
880242,20.98,43
191922,12.99,76
613212,129,85
390199,39.95,31
617351,51,52
655075,54,36
539971,59.99,40
547943,210.95,47
108115,75.14,24
109900,175.39,31
110954,163,55
170155,231.95,25
294020,349.95,58
362106,160,22
537869,145.55,19
56502,57.65,58
60283,25,109
60350,61.95,65
606819,25.15,36
61081,19.44,30
614231,127.95,64
636248,99,29
527991,82.95,70
57085,116,62
843456,42.56,18
110090,43.85,20
550813,28.98,70
284934,35.31,40
111079,79.13,34
309790,0,21
628628,0,21
534102,35.45,83
716267,212.27,16
623015,266.67,27
626253,159.27,33
741977,173,40
540851,209.33,45
