,ds,y,Holiday_Flag
0,2010-02-05,1643690.9,0
1,2010-02-12,1641957.44,1
2,2010-02-19,1611968.17,0
3,2010-02-26,1409727.59,0
4,2010-03-05,1554806.68,0
5,2010-03-12,1439541.59,0
6,2010-03-19,1472515.79,0
7,2010-03-26,1404429.92,0
8,2010-04-02,1594968.28,0
9,2010-04-09,1545418.53,0
10,2010-04-16,1466058.28,0
11,2010-04-23,1391256.12,0
12,2010-04-30,1425100.71,0
13,2010-05-07,1603955.12,0
14,2010-05-14,1494251.5,0
15,2010-05-21,1399662.07,0
16,2010-05-28,1432069.95,0
17,2010-06-04,1615524.71,0
18,2010-06-11,1542561.09,0
19,2010-06-18,1503284.06,0
20,2010-06-25,1422711.6,0
21,2010-07-02,1492418.14,0
22,2010-07-09,1546074.18,0
23,2010-07-16,1448938.92,0
24,2010-07-23,1385065.2,0
25,2010-07-30,1371986.6,0
26,2010-08-06,1605491.78,0
27,2010-08-13,1508237.76,0
28,2010-08-20,1513080.49,0
29,2010-08-27,1449142.92,0
30,2010-09-03,1540163.53,0
31,2010-09-10,1507460.69,1
32,2010-09-17,1430378.67,0
33,2010-09-24,1351791.03,0
34,2010-10-01,1453329.5,0
35,2010-10-08,1508239.93,0
36,2010-10-15,1459409.1,0
37,2010-10-22,1345454.0,0
38,2010-10-29,1384209.22,0
39,2010-11-05,1551659.28,0
40,2010-11-12,1494479.49,0
41,2010-11-19,1483784.18,0
42,2010-11-26,1955624.11,1
43,2010-12-03,1548033.78,0
44,2010-12-10,1682614.26,0
45,2010-12-17,1891034.93,0
46,2010-12-24,2387950.2,0
47,2010-12-31,1367320.01,1
48,2011-01-07,1444732.28,0
49,2011-01-14,1391013.96,0
50,2011-01-21,1327405.42,0
51,2011-01-28,1316899.31,0
52,2011-02-04,1606629.58,0
53,2011-02-11,1649614.93,1
54,2011-02-18,1686842.78,0
55,2011-02-25,1456800.28,0
56,2011-03-04,1636263.41,0
57,2011-03-11,1553191.63,0
58,2011-03-18,1576818.06,0
59,2011-03-25,1541102.38,0
60,2011-04-01,1495064.75,0
61,2011-04-08,1614259.35,0
62,2011-04-15,1559889.0,0
63,2011-04-22,1564819.81,0
64,2011-04-29,1455090.69,0
65,2011-05-06,1629391.28,0
66,2011-05-13,1604775.58,0
67,2011-05-20,1428218.27,0
68,2011-05-27,1466046.67,0
69,2011-06-03,1635078.41,0
70,2011-06-10,1588948.32,0
71,2011-06-17,1532114.86,0
72,2011-06-24,1438830.15,0
73,2011-07-01,1488538.09,0
74,2011-07-08,1534849.64,0
75,2011-07-15,1455119.97,0
76,2011-07-22,1396926.82,0
77,2011-07-29,1352219.79,0
78,2011-08-05,1624383.75,0
79,2011-08-12,1525147.09,0
80,2011-08-19,1530761.43,0
81,2011-08-26,1464693.46,0
82,2011-09-02,1550229.22,0
83,2011-09-09,1540471.24,1
84,2011-09-16,1514259.78,0
85,2011-09-23,1380020.27,0
86,2011-09-30,1394561.83,0
87,2011-10-07,1630989.95,0
88,2011-10-14,1493525.93,0
89,2011-10-21,1502562.78,0
90,2011-10-28,1445249.09,0
91,2011-11-04,1697229.58,0
92,2011-11-11,1594938.89,0
93,2011-11-18,1539483.7,0
94,2011-11-25,2033320.66,1
95,2011-12-02,1584083.95,0
96,2011-12-09,1799682.38,0
97,2011-12-16,1881176.67,0
98,2011-12-23,2270188.99,0
99,2011-12-30,1497462.72,1
100,2012-01-06,1550369.92,0
101,2012-01-13,1459601.17,0
102,2012-01-20,1394393.84,0
103,2012-01-27,1319325.59,0
104,2012-02-03,1636339.65,0
105,2012-02-10,1802477.43,1
106,2012-02-17,1819870.0,0
107,2012-02-24,1539387.83,0
108,2012-03-02,1688420.76,0
109,2012-03-09,1675431.16,0
110,2012-03-16,1677472.78,0
111,2012-03-23,1511068.07,0
112,2012-03-30,1649604.63,0
113,2012-04-06,1899676.88,0
114,2012-04-13,1621031.7,0
115,2012-04-20,1521577.87,0
116,2012-04-27,1468928.37,0
117,2012-05-04,1684519.99,0
118,2012-05-11,1611096.05,0
119,2012-05-18,1595901.87,0
120,2012-05-25,1555444.55,0
121,2012-06-01,1624477.58,0
122,2012-06-08,1697230.96,0
123,2012-06-15,1630607.0,0
124,2012-06-22,1527845.81,0
125,2012-06-29,1540421.49,0
126,2012-07-06,1769854.16,0
127,2012-07-13,1527014.04,0
128,2012-07-20,1497954.76,0
129,2012-07-27,1439123.71,0
130,2012-08-03,1631135.79,0
131,2012-08-10,1592409.97,0
132,2012-08-17,1597868.05,0
133,2012-08-24,1494122.38,0
134,2012-08-31,1582083.4,0
135,2012-09-07,1661767.33,1
136,2012-09-14,1517428.87,0
137,2012-09-21,1506126.06,0
138,2012-09-28,1437059.26,0
139,2012-10-05,1670785.97,0
140,2012-10-12,1573072.81,0
141,2012-10-19,1508068.77,0
142,2012-10-26,1493659.74,0
